instance,q1,q2,lower_bound,lower_bound_originator,lower_bound_date,upper_bound,upper_bound_originator,upper_bound_date,status,gap_percent,solution
umps4,2,1,5176.0,Trick et al.,2011-10-17,5176,Trick et al.,2011-10-17,optimal,,
umps6,3,1,14077.0,Trick et al.,2011-10-17,14077,Trick et al.,2011-10-17,optimal,,
umps6A,3,1,15457.0,Trick et al.,2011-10-17,15457,Trick et al.,2011-10-17,optimal,,
umps6B,3,1,16716.0,Trick et al.,2011-10-17,16716,Trick et al.,2011-10-17,optimal,,
umps6C,3,1,14396.0,Trick et al.,2011-10-17,14396,Trick et al.,2011-10-17,optimal,,
umps8,4,2,34311.0,Trick et al.,2011-10-17,34311,Trick et al.,2011-10-17,optimal,,
umps8A,4,2,31490.0,Trick et al.,2011-10-17,31490,Trick et al.,2011-10-17,optimal,,
umps8B,4,2,32731.0,Trick et al.,2011-10-17,32731,Trick et al.,2011-10-17,optimal,,
umps8C,4,2,29879.0,Trick et al.,2011-10-17,29879,Trick et al.,2011-10-17,optimal,,
umps10,5,2,48942.0,Trick et al.,2011-10-17,48942,Trick et al.,2011-10-17,optimal,,
umps10A,5,2,46551.0,Trick et al.,2011-10-17,46551,Trick et al.,2011-10-17,optimal,,
umps10B,5,2,45609.0,Trick et al.,2011-10-17,45609,Trick et al.,2011-10-17,optimal,,
umps10C,5,2,43149.0,Trick et al.,2011-10-17,43149,Trick et al.,2011-10-17,optimal,,
umps12,7,2,86889.0,Toffolo et al.,2015-02-03,86889,Toffolo et al.,2015-02-03,optimal,,
umps12,6,3,95259.3,Xue et al.,2014-03-21,,Trick et al.,2011-10-17,infeasible,,
umps12,5,3,93679.0,Toffolo et al.,2015-02-03,93679,Toffolo et al.,2015-02-03,optimal,,
umps12,4,3,89826.0,Toffolo et al.,2015-02-03,89826,Toffolo et al.,2015-02-03,optimal,,
umps14,8,3,172177.0,Toffolo et al.,2015-02-03,172177,Toffolo et al.,2015-02-03,optimal,,
umps14,8,2,147824.0,Toffolo et al.,2015-02-03,147824,Toffolo et al.,2015-02-03,optimal,,
umps14,7,3,164440.0,Toffolo et al.,2015-02-03,164440,Wauters et al.,2013-11-05,optimal,,
umps14,7,2,146656.0,Toffolo et al.,2015-02-03,146656,Toffolo et al.,2015-02-03,optimal,,
umps14,6,3,158875.0,Toffolo et al.,2015-02-03,158875,Toffolo et al.,2015-02-03,optimal,,
umps14,6,2,145124.0,Toffolo et al.,2015-02-03,145124,Toffolo et al.,2015-02-03,optimal,,
umps14,5,3,154962.0,Xue et al.,2014-03-21,154962,Xue et al.,2014-03-21,optimal,,
umps14,5,2,143357.0,Toffolo et al.,2015-02-03,143357,Toffolo et al.,2015-02-03,optimal,,
umps14A,8,3,166184.0,Toffolo et al.,2015-02-03,166184,Toffolo et al.,2015-02-03,optimal,,
umps14A,8,2,143043.0,Toffolo et al.,2015-02-03,143043,Toffolo et al.,2015-02-03,optimal,,
umps14A,7,3,158760.0,Toffolo et al.,2015-02-03,158760,Wauters et al.,2013-11-05,optimal,,
umps14A,7,2,140562.0,Toffolo et al.,2015-02-03,140562,Toffolo et al.,2015-02-03,optimal,,
umps14A,6,3,152981.0,Toffolo et al.,2015-02-03,152981,Toffolo et al.,2015-02-03,optimal,,
umps14A,6,2,138927.0,Toffolo et al.,2015-02-03,138927,Toffolo et al.,2015-02-03,optimal,,
