kind,group_id,name,authors,submitted,publication,publication_url,archive_url
lower_bound,10,Trick2011,"Michael Trick, Hakan Yildiz",2011-10-17,"Benders' cuts guided large neighborhood search for the traveling umpire problem. Michael A. Trick and Hakan Yildiz. Naval Research Logistics (NRL), 58 (8), pp. 771 - 781 (2011).",http://onlinelibrary.wiley.com/doi/10.1002/nav.20482/abstract,
lower_bound,17,Toffolo2014,"Túlio Toffolo, Sam Van Malderen, Tony Wauters, Greet Vanden Berghe",2014-02-28,"Branch-and-Price and Improved Bounds to the Traveling Umpire Problem. Túlio A. M. Toffolo, Sam Van Malderen, Tony Wauters and Greet Vanden Berghe. In 10th International Conference on Practice and Theory of Automated Timetabling (PATAT 2014), pp. 420-432, York, UK (2014).",http://www.patatconference.org/patat2014/proceedings/2_26.pdf,
lower_bound,18,DeOliveira2013,"Lucas de Oliveira, Cid C. de Souza, Tallys Yunes",2013-08-28,"Improved bounds for the traveling umpire problem: A stronger formulation and a relax-and-fix heuristic. Lucas de Oliveira, Cid C. de Souza and Tallys Yunes. European Journal of Operational Research, 236 (2), pp. 592 - 600 (2014).",http://www.sciencedirect.com/science/article/pii/S0377221713010035,
lower_bound,19,Wauters2013,"Tony Wauters, Sam Van Malderen, Greet Vanden Berghe",2013-11-05,"Decomposition and local search based methods for the traveling umpire problem. Tony Wauters, Sam Van Malderen and Greet Vanden Berghe. European Journal of Operational Research, 238 (3), pp. 886 - 898 (2014).",http://www.sciencedirect.com/science/article/pii/S0377221714003853,
lower_bound,25,Toffolo2015,"Túlio Toffolo, Tony Wauters, Sam Van Malderen, Greet Vanden Berghe",2015-02-03,"Branch-and-bound with decomposition-based lower bounds for the Traveling Umpire Problem. Túlio A. M. Toffolo, Tony Wauters, Sam Van Malderen and Greet Vanden Berghe. European Journal of Operational Research, 250 (3), pp. 737-744 (2016).",http://dx.doi.org/10.1016/j.ejor.2015.10.004,
lower_bound,26,Xue2015,"Li Xue, Luo Zhixing, Andrew Lim",2014-03-21,"Two exact algorithms for the traveling umpire problem. Li Xue, Zhixing Luo and Andrew Lim. European Journal of Operational Research, 243 (3), pp. 932 - 943 (2015).",http://dx.doi.org/10.1016/j.ejor.2014.12.038,
lower_bound,30,DeOliveira2015,"Lucas de Oliveira, Cid C. de Souza, Tallys Yunes",2015-08-11,,,
lower_bound,31,DeOliveira2014,"Lucas de Oliveira, Cid C. de Souza, Tallys Yunes",2014-09-03,,,
upper_bound,14,Toffolo2015,"Túlio Toffolo, Tony Wauters, Sam Van Malderen, Greet Vanden Berghe",2015-02-03,"Branch-and-bound with decomposition-based lower bounds for the Traveling Umpire Problem. Túlio A. M. Toffolo, Tony Wauters, Sam Van Malderen and Greet Vanden Berghe. European Journal of Operational Research, 250 (3), pp. 737-744 (2016).",http://dx.doi.org/10.1016/j.ejor.2015.10.004,https://benchmark.gent.cs.kuleuven.be/tup/media/solutions/14/solutions.zip
upper_bound,27,Trick2011,"Michael Trick, Hakan Yildiz",2011-10-17,"Benders' cuts guided large neighborhood search for the traveling umpire problem. Michael A. Trick and Hakan Yildiz. Naval Research Logistics (NRL), 58 (8), pp. 771 - 781 (2011).",http://onlinelibrary.wiley.com/doi/10.1002/nav.20482/abstract,
upper_bound,34,Toffolo2014,"Túlio Toffolo, Sam Van Malderen, Tony Wauters, Greet Vanden Berghe",2014-02-28,"Branch-and-Price and Improved Bounds to the Traveling Umpire Problem. Túlio A. M. Toffolo, Sam Van Malderen, Tony Wauters and Greet Vanden Berghe. In 10th International Conference on Practice and Theory of Automated Timetabling (PATAT 2014), pp. 420-432, York, UK (2014).",http://www.patatconference.org/patat2014/proceedings/2_26.pdf,
upper_bound,35,DeOliveira2013,"Lucas de Oliveira, Cid C. de Souza, Tallys Yunes",2013-08-28,"Improved bounds for the traveling umpire problem: A stronger formulation and a relax-and-fix heuristic. Lucas de Oliveira, Cid C. de Souza and Tallys Yunes. European Journal of Operational Research, 236 (2), pp. 592 - 600 (2014).",http://www.sciencedirect.com/science/article/pii/S0377221713010035,
upper_bound,36,Wauters2013,"Tony Wauters, Sam Van Malderen, Greet Vanden Berghe",2013-11-05,"Decomposition and local search based methods for the traveling umpire problem. Tony Wauters, Sam Van Malderen and Greet Vanden Berghe. European Journal of Operational Research, 238 (3), pp. 886 - 898 (2014).",http://www.sciencedirect.com/science/article/pii/S0377221714003853,
upper_bound,38,Toffolo2015b,"Túlio Toffolo, Tony Wauters, Greet Vanden Berghe",2015-06-25,,,https://benchmark.gent.cs.kuleuven.be/tup/media/solutions/38/solutions.zip
upper_bound,45,Xue2015,"Li Xue, Luo Zhixing, Andrew Lim",2014-03-21,"Two exact algorithms for the traveling umpire problem. Li Xue, Zhixing Luo and Andrew Lim. European Journal of Operational Research, 243 (3), pp. 932 - 943 (2015).",http://dx.doi.org/10.1016/j.ejor.2014.12.038,
upper_bound,46,DeOliveira2014,"Lucas de Oliveira, Cid C. de Souza, Tallys Yunes",2014-09-03,,,
upper_bound,52,DecompHeuristic,"Túlio Toffolo, Greet Vanden Berghe, Tony Wauters",2017-07-22,,,https://benchmark.gent.cs.kuleuven.be/tup/media/solutions/52/solutions.zip
