instance,q1,q2,kind,rank,value,originator,date,group_url,artifact_url
umps4,2,1,lower_bound,1,5176.0,Trick et al.,2011-10-17,https://benchmark.gent.cs.kuleuven.be/tup/en/results/bound_group/10.html,
umps4,2,1,upper_bound,1,5176,Trick et al.,2011-10-17,https://benchmark.gent.cs.kuleuven.be/tup/en/results/solution_group/27.html,
umps6,3,1,lower_bound,1,14077.0,Trick et al.,2011-10-17,https://benchmark.gent.cs.kuleuven.be/tup/en/results/bound_group/10.html,
umps6,3,1,upper_bound,1,14077,Trick et al.,2011-10-17,https://benchmark.gent.cs.kuleuven.be/tup/en/results/solution_group/27.html,
umps6A,3,1,lower_bound,1,15457.0,Trick et al.,2011-10-17,https://benchmark.gent.cs.kuleuven.be/tup/en/results/bound_group/10.html,
umps6A,3,1,upper_bound,1,15457,Trick et al.,2011-10-17,https://benchmark.gent.cs.kuleuven.be/tup/en/results/solution_group/27.html,
umps6B,3,1,lower_bound,1,16716.0,Trick et al.,2011-10-17,https://benchmark.gent.cs.kuleuven.be/tup/en/results/bound_group/10.html,
umps6B,3,1,upper_bound,1,16716,Trick et al.,2011-10-17,https://benchmark.gent.cs.kuleuven.be/tup/en/results/solution_group/27.html,
umps6C,3,1,lower_bound,1,14396.0,Trick et al.,2011-10-17,https://benchmark.gent.cs.kuleuven.be/tup/en/results/bound_group/10.html,
umps6C,3,1,upper_bound,1,14396,Trick et al.,2011-10-17,https://benchmark.gent.cs.kuleuven.be/tup/en/results/solution_group/27.html,
umps8,4,2,lower_bound,1,34311.0,Trick et al.,2011-10-17,https://benchmark.gent.cs.kuleuven.be/tup/en/results/bound_group/10.html,
umps8,4,2,upper_bound,1,34311,Trick et al.,2011-10-17,https://benchmark.gent.cs.kuleuven.be/tup/en/results/solution_group/27.html,
umps8A,4,2,lower_bound,1,31490.0,Trick et al.,2011-10-17,https://benchmark.gent.cs.kuleuven.be/tup/en/results/bound_group/10.html,
umps8A,4,2,upper_bound,1,31490,Trick et al.,2011-10-17,https://benchmark.gent.cs.kuleuven.be/tup/en/results/solution_group/27.html,
umps8B,4,2,lower_bound,1,32731.0,Trick et al.,2011-10-17,https://benchmark.gent.cs.kuleuven.be/tup/en/results/bound_group/10.html,
umps8B,4,2,upper_bound,1,32731,Trick et al.,2011-10-17,https://benchmark.gent.cs.kuleuven.be/tup/en/results/solution_group/27.html,
umps8C,4,2,lower_bound,1,29879.0,Trick et al.,2011-10-17,https://benchmark.gent.cs.kuleuven.be/tup/en/results/bound_group/10.html,
umps8C,4,2,upper_bound,1,29879,Trick et al.,2011-10-17,https://benchmark.gent.cs.kuleuven.be/tup/en/results/solution_group/27.html,
umps10,5,2,lower_bound,1,48942.0,Trick et al.,2011-10-17,https://benchmark.gent.cs.kuleuven.be/tup/en/results/bound_group/10.html,
umps10,5,2,upper_bound,1,48942,Trick et al.,2011-10-17,https://benchmark.gent.cs.kuleuven.be/tup/en/results/solution_group/27.html,
umps10A,5,2,lower_bound,1,46551.0,Trick et al.,2011-10-17,https://benchmark.gent.cs.kuleuven.be/tup/en/results/bound_group/10.html,
umps10A,5,2,upper_bound,1,46551,Trick et al.,2011-10-17,https://benchmark.gent.cs.kuleuven.be/tup/en/results/solution_group/27.html,
umps10B,5,2,lower_bound,1,45609.0,Trick et al.,2011-10-17,https://benchmark.gent.cs.kuleuven.be/tup/en/results/bound_group/10.html,
umps10B,5,2,upper_bound,1,45609,Trick et al.,2011-10-17,https://benchmark.gent.cs.kuleuven.be/tup/en/results/solution_group/27.html,
umps10C,5,2,lower_bound,1,43149.0,Trick et al.,2011-10-17,https://benchmark.gent.cs.kuleuven.be/tup/en/results/bound_group/10.html,
umps10C,5,2,upper_bound,1,43149,Trick et al.,2011-10-17,https://benchmark.gent.cs.kuleuven.be/tup/en/results/solution_group/27.html,
umps12,7,2,lower_bound,1,86889.0,Toffolo et al.,2015-02-03,https://benchmark.gent.cs.kuleuven.be/tup/en/results/bound_group/25.html,
umps12,7,2,upper_bound,1,86889,Toffolo et al.,2015-02-03,https://benchmark.gent.cs.kuleuven.be/tup/en/results/solution_group/14.html,https://benchmark.gent.cs.kuleuven.be/tup/media/solutions/14/umps12_7_2.txt
umps12,6,3,lower_bound,1,95259.3,Xue et al.,2014-03-21,https://benchmark.gent.cs.kuleuven.be/tup/en/results/bound_group/26.html,
umps12,6,3,upper_bound,1,infeasible,Trick et al.,2011-10-17,https://benchmark.gent.cs.kuleuven.be/tup/en/results/solution_group/27.html,
umps12,5,3,lower_bound,1,93679.0,Toffolo et al.,2015-02-03,https://benchmark.gent.cs.kuleuven.be/tup/en/results/bound_group/25.html,
umps12,5,3,upper_bound,1,93679,Toffolo et al.,2015-02-03,https://benchmark.gent.cs.kuleuven.be/tup/en/results/solution_group/14.html,https://benchmark.gent.cs.kuleuven.be/tup/media/solutions/14/umps12_5_3.txt
umps12,4,3,lower_bound,1,89826.0,Toffolo et al.,2015-02-03,https://benchmark.gent.cs.kuleuven.be/tup/en/results/bound_group/25.html,
umps12,4,3,upper_bound,1,89826,Toffolo et al.,2015-02-03,https://benchmark.gent.cs.kuleuven.be/tup/en/results/solution_group/14.html,https://benchmark.gent.cs.kuleuven.be/tup/media/solutions/14/umps12_4_3.txt
umps14,8,3,lower_bound,1,172177.0,Toffolo et al.,2015-02-03,https://benchmark.gent.cs.kuleuven.be/tup/en/results/bound_group/25.html,
umps14,8,3,upper_bound,1,172177,Toffolo et al.,2015-02-03,https://benchmark.gent.cs.kuleuven.be/tup/en/results/solution_group/14.html,https://benchmark.gent.cs.kuleuven.be/tup/media/solutions/14/umps14_8_3.txt
umps14,8,2,lower_bound,1,147824.0,Toffolo et al.,2015-02-03,https://benchmark.gent.cs.kuleuven.be/tup/en/results/bound_group/25.html,
umps14,8,2,upper_bound,1,147824,Toffolo et al.,2015-02-03,https://benchmark.gent.cs.kuleuven.be/tup/en/results/solution_group/14.html,https://benchmark.gent.cs.kuleuven.be/tup/media/solutions/14/umps14_8_2.txt
umps14,7,3,lower_bound,1,164440.0,Toffolo et al.,2015-02-03,https://benchmark.gent.cs.kuleuven.be/tup/en/results/bound_group/25.html,
umps14,7,3,lower_bound,2,159797.0,Wauters et al.,2013-11-05,https://benchmark.gent.cs.kuleuven.be/tup/en/results/bound_group/19.html,
umps14,7,3,lower_bound,3,141253.0,Trick et al.,2011-10-17,https://benchmark.gent.cs.kuleuven.be/tup/en/results/bound_group/10.html,
umps14,7,3,upper_bound,1,164440,Wauters et al.,2013-11-05,https://benchmark.gent.cs.kuleuven.be/tup/en/results/solution_group/36.html,
umps14,7,3,upper_bound,2,172510,Toffolo et al.,2017-07-22,https://benchmark.gent.cs.kuleuven.be/tup/en/results/solution_group/52.html,https://benchmark.gent.cs.kuleuven.be/tup/media/solutions/52/umps14_7_3.txt
umps14,7,3,upper_bound,3,184117,Trick et al.,2011-10-17,https://benchmark.gent.cs.kuleuven.be/tup/en/results/solution_group/27.html,
umps14,7,2,lower_bound,1,146656.0,Toffolo et al.,2015-02-03,https://benchmark.gent.cs.kuleuven.be/tup/en/results/bound_group/25.html,
umps14,7,2,upper_bound,1,146656,Toffolo et al.,2015-02-03,https://benchmark.gent.cs.kuleuven.be/tup/en/results/solution_group/14.html,https://benchmark.gent.cs.kuleuven.be/tup/media/solutions/14/umps14_7_2.txt
umps14,6,3,lower_bound,1,158875.0,Toffolo et al.,2015-02-03,https://benchmark.gent.cs.kuleuven.be/tup/en/results/bound_group/25.html,
umps14,6,3,lower_bound,2,157083.4,Xue et al.,2014-03-21,https://benchmark.gent.cs.kuleuven.be/tup/en/results/bound_group/26.html,
umps14,6,3,lower_bound,3,156551.0,Wauters et al.,2013-11-05,https://benchmark.gent.cs.kuleuven.be/tup/en/results/bound_group/19.html,
umps14,6,3,upper_bound,1,158875,Toffolo et al.,2015-02-03,https://benchmark.gent.cs.kuleuven.be/tup/en/results/solution_group/14.html,https://benchmark.gent.cs.kuleuven.be/tup/media/solutions/14/umps14_6_3.txt
umps14,6,3,upper_bound,2,159505,Wauters et al.,2013-11-05,https://benchmark.gent.cs.kuleuven.be/tup/en/results/solution_group/36.html,
