1,2,3,4,5,6,3,1,4,6,2,5,4,3,6,5,1,2,4,1,3,5,2,6,1,3,6,2,4,5,4,6,1,3,5,2,6,1,5,2,3,4,2,4,6,3,5,1,5,2,4,6,3,1,1,6,4,5,2,3,3,5,1,6,4,2,3,5,1,4,6,2,1,3,4,5,2,6,4,2,6,3,1,5,6,2,4,3,5,1,4,5,2,1,6,3,3,6,1,2,4,5,3,2,5,1,4,6,2,4,5,6,1,3,1,6,4,5,3,2,5,1,2,6,3,4,3,2,1,4,5,6,
---
Solution [travelDistance=86889, homeVisitViolations=0, consecutiveHomeVisitViolations=0, consecutiveTeamSeenViolations=0]
-1--2--3--4--5--6-
 [1, 2]  [5, 3]  [7, 10]  [9, 8]  [11, 4]  [12, 6] 
 [5, 4]  [11, 6]  [1, 3]  [7, 2]  [12, 8]  [9, 10] 
 [11, 8]  [12, 10]  [5, 6]  [4, 3]  [9, 2]  [7, 1] 
 [3, 5]  [8, 9]  [4, 12]  [2, 7]  [6, 1]  [10, 11] 
 [2, 12]  [6, 4]  [3, 7]  [8, 11]  [10, 9]  [5, 1] 
 [4, 8]  [9, 11]  [6, 2]  [1, 10]  [7, 5]  [3, 12] 
 [7, 9]  [10, 3]  [11, 1]  [12, 5]  [8, 2]  [4, 6] 
 [12, 1]  [4, 9]  [10, 2]  [6, 7]  [11, 5]  [8, 3] 
 [10, 8]  [2, 11]  [7, 3]  [5, 12]  [1, 4]  [6, 9] 
 [1, 12]  [7, 6]  [9, 4]  [3, 11]  [5, 8]  [2, 10] 
 [5, 10]  [12, 4]  [1, 8]  [9, 6]  [3, 2]  [7, 11] 
 [6, 3]  [11, 10]  [2, 5]  [8, 7]  [4, 1]  [9, 12] 
 [2, 1]  [8, 12]  [3, 9]  [4, 5]  [6, 11]  [10, 7] 
 [7, 8]  [3, 1]  [6, 5]  [2, 9]  [10, 12]  [4, 11] 
 [12, 11]  [5, 2]  [8, 10]  [7, 4]  [9, 3]  [1, 6] 
 [10, 4]  [9, 7]  [12, 3]  [1, 5]  [8, 6]  [11, 2] 
 [9, 1]  [10, 6]  [5, 7]  [11, 3]  [12, 2]  [8, 4] 
 [4, 7]  [2, 8]  [1, 11]  [5, 9]  [3, 10]  [6, 12] 
 [6, 10]  [1, 9]  [7, 12]  [3, 8]  [4, 2]  [5, 11] 
 [1, 7]  [11, 12]  [9, 5]  [4, 10]  [6, 8]  [2, 3] 
 [3, 6]  [8, 1]  [11, 7]  [12, 9]  [2, 4]  [10, 5] 
 [8, 5]  [3, 4]  [2, 6]  [10, 1]  [11, 9]  [12, 7] 
------------


