1,2,3,4,5,6,7,4,6,7,3,1,5,2,2,7,3,6,5,1,4,5,7,3,4,1,2,6,5,3,6,7,4,1,2,3,4,2,1,5,6,7,1,5,2,4,7,3,6,2,4,1,7,6,3,5,6,4,1,5,3,7,2,6,5,7,4,2,1,3,5,6,4,2,7,3,1,1,6,3,7,2,5,4,7,3,1,2,5,4,6,3,7,4,2,6,5,1,2,7,3,1,5,4,6,2,5,3,1,7,4,6,2,1,5,3,6,7,4,1,6,3,7,4,2,5,1,3,4,5,2,7,6,1,5,2,6,4,7,3,5,3,4,6,2,7,1,5,3,6,7,4,2,1,3,7,1,4,5,2,6,4,7,3,1,6,5,2,4,2,6,1,5,3,7,7,2,1,5,3,6,4,
---
Solution [travelDistance=152981, homeVisitViolations=0, consecutiveHomeVisitViolations=0, consecutiveTeamSeenViolations=0]
-1--2--3--4--5--6--7-
 [1, 2]  [4, 8]  [5, 7]  [9, 10]  [11, 3]  [12, 6]  [13, 14] 
 [11, 12]  [14, 3]  [9, 1]  [5, 2]  [13, 6]  [7, 4]  [8, 10] 
 [13, 3]  [2, 7]  [8, 4]  [14, 6]  [12, 9]  [10, 1]  [5, 11] 
 [10, 4]  [12, 13]  [6, 11]  [8, 1]  [2, 5]  [14, 9]  [3, 7] 
 [9, 12]  [10, 8]  [2, 3]  [7, 11]  [1, 14]  [4, 5]  [6, 13] 
 [8, 6]  [5, 14]  [1, 7]  [3, 4]  [9, 13]  [11, 2]  [12, 10] 
 [1, 3]  [7, 2]  [12, 14]  [9, 8]  [6, 4]  [13, 10]  [11, 5] 
 [7, 9]  [4, 11]  [13, 5]  [6, 1]  [14, 10]  [12, 3]  [8, 2] 
 [4, 6]  [14, 5]  [10, 3]  [2, 11]  [7, 8]  [1, 9]  [13, 12] 
 [10, 13]  [6, 7]  [14, 12]  [5, 9]  [3, 11]  [2, 8]  [4, 1] 
 [12, 5]  [9, 4]  [11, 7]  [8, 13]  [2, 1]  [3, 6]  [10, 14] 
 [3, 1]  [8, 11]  [6, 10]  [12, 2]  [9, 5]  [4, 14]  [7, 13] 
 [6, 9]  [7, 3]  [4, 12]  [10, 11]  [8, 14]  [13, 2]  [1, 5] 
 [14, 2]  [5, 6]  [1, 8]  [4, 7]  [11, 13]  [10, 9]  [3, 12] 
 [5, 8]  [1, 13]  [3, 10]  [9, 6]  [7, 12]  [11, 14]  [2, 4] 
 [7, 6]  [2, 10]  [5, 13]  [11, 8]  [4, 3]  [12, 1]  [9, 14] 
 [4, 10]  [3, 5]  [7, 14]  [13, 1]  [6, 2]  [8, 9]  [12, 11] 
 [3, 8]  [13, 11]  [9, 2]  [12, 4]  [14, 1]  [6, 5]  [10, 7] 
 [1, 12]  [10, 2]  [6, 8]  [7, 5]  [9, 3]  [14, 11]  [13, 4] 
 [2, 13]  [8, 3]  [14, 4]  [10, 6]  [5, 12]  [9, 7]  [11, 1] 
 [11, 6]  [7, 1]  [3, 13]  [4, 9]  [2, 14]  [5, 10]  [8, 12] 
 [12, 7]  [11, 10]  [2, 9]  [8, 5]  [1, 6]  [3, 14]  [4, 13] 
 [4, 2]  [12, 8]  [1, 11]  [6, 14]  [10, 5]  [13, 7]  [3, 9] 
 [9, 11]  [14, 7]  [5, 3]  [1, 4]  [13, 8]  [10, 12]  [2, 6] 
 [7, 10]  [5, 1]  [13, 9]  [2, 12]  [11, 4]  [6, 3]  [14, 8] 
 [5, 4]  [3, 2]  [8, 7]  [14, 13]  [6, 12]  [11, 9]  [1, 10] 
--------------


