1,2,3,4,5,6,7,8,9,10,5,8,6,1,2,3,10,4,7,9,10,4,2,3,7,1,9,6,5,8,6,7,1,2,9,10,8,3,4,5,8,5,9,10,3,2,4,1,6,7,7,2,8,6,5,9,3,10,1,4,6,7,4,9,10,8,1,5,2,3,9,1,10,8,4,5,2,7,3,6,3,8,5,1,7,10,6,4,9,2,6,7,2,3,4,1,9,8,5,10,6,8,3,4,2,1,5,9,10,7,8,2,4,10,9,1,7,3,6,5,5,1,9,6,3,10,4,7,2,8,6,9,2,5,8,7,10,3,1,4,7,3,4,6,10,5,8,2,9,1,7,8,3,6,2,1,5,10,4,9,1,4,7,10,5,6,2,9,8,3,9,8,1,10,5,6,3,7,4,2,10,2,5,1,8,9,6,4,3,7,5,3,4,7,2,10,9,8,1,6,8,6,5,2,7,4,3,1,9,10,6,7,9,8,3,2,4,10,5,1,3,9,6,5,2,7,1,10,4,8,9,1,2,7,6,10,5,4,8,3,1,4,5,3,10,9,7,6,8,2,2,3,10,4,5,1,8,9,7,6,8,5,1,2,4,10,3,6,9,7,4,6,8,10,2,3,1,7,5,9,6,10,4,7,3,8,5,1,9,2,1,9,7,6,10,4,8,3,5,2,7,8,10,1,4,9,6,3,5,2,10,7,6,8,5,3,1,4,2,9,2,5,3,10,9,6,8,4,7,1,8,10,2,9,6,7,3,5,1,4,3,6,8,7,2,10,9,5,1,4,7,2,5,3,1,9,4,10,8,6,6,1,7,4,8,5,3,9,10,2,4,3,9,6,10,1,5,7,2,8,
---
Solution [travelDistance=250569, homeVisitViolations=0, consecutiveHomeVisitViolations=0, consecutiveTeamSeenViolations=0]
-1--2--3--4--5--6--7--8--9--10-
 [11, 10]  [12, 9]  [13, 8]  [14, 7]  [15, 6]  [16, 5]  [17, 4]  [18, 3]  [19, 2]  [20, 1] 
 [14, 8]  [15, 7]  [16, 6]  [18, 4]  [11, 2]  [13, 9]  [19, 1]  [12, 10]  [20, 3]  [17, 5] 
 [16, 7]  [13, 10]  [14, 9]  [12, 3]  [19, 5]  [18, 1]  [15, 8]  [20, 2]  [17, 6]  [11, 4] 
 [13, 4]  [14, 3]  [18, 2]  [19, 8]  [20, 7]  [11, 6]  [12, 5]  [17, 1]  [15, 10]  [16, 9] 
 [18, 9]  [16, 1]  [15, 4]  [17, 2]  [12, 8]  [19, 3]  [20, 10]  [11, 7]  [13, 5]  [14, 6] 
 [19, 11]  [8, 5]  [17, 3]  [20, 13]  [15, 1]  [10, 14]  [7, 6]  [9, 4]  [16, 2]  [18, 12] 
 [17, 12]  [19, 4]  [20, 5]  [10, 11]  [18, 6]  [8, 7]  [9, 3]  [16, 13]  [14, 1]  [15, 2] 
 [10, 5]  [17, 7]  [19, 6]  [15, 3]  [16, 4]  [20, 12]  [18, 11]  [14, 2]  [9, 8]  [13, 1] 
 [14, 4]  [20, 6]  [9, 7]  [18, 8]  [13, 2]  [17, 11]  [15, 5]  [12, 1]  [19, 10]  [16, 3] 
 [13, 3]  [10, 9]  [11, 1]  [12, 16]  [19, 7]  [6, 4]  [8, 2]  [18, 5]  [17, 15]  [20, 14] 
 [16, 15]  [14, 5]  [12, 2]  [13, 6]  [17, 8]  [10, 1]  [20, 4]  [11, 3]  [18, 7]  [19, 9] 
 [12, 6]  [8, 3]  [18, 14]  [9, 1]  [20, 15]  [19, 13]  [17, 16]  [7, 4]  [11, 5]  [10, 2] 
 [7, 5]  [19, 15]  [10, 3]  [17, 14]  [6, 11]  [9, 2]  [18, 13]  [20, 16]  [8, 1]  [12, 4] 
 [19, 18]  [7, 1]  [17, 9]  [20, 8]  [10, 4]  [5, 3]  [14, 11]  [13, 12]  [6, 2]  [15, 16] 
 [20, 17]  [18, 10]  [6, 1]  [7, 3]  [14, 12]  [8, 4]  [5, 2]  [15, 9]  [19, 16]  [13, 11] 
 [15, 11]  [13, 14]  [7, 2]  [19, 12]  [16, 8]  [10, 6]  [3, 4]  [5, 1]  [20, 9]  [18, 17] 
 [3, 2]  [16, 12]  [20, 11]  [4, 1]  [13, 7]  [15, 18]  [8, 6]  [19, 14]  [17, 10]  [9, 5] 
 [6, 5]  [20, 19]  [15, 14]  [18, 16]  [11, 9]  [12, 7]  [17, 13]  [4, 2]  [3, 1]  [10, 8] 
 [8, 9]  [5, 4]  [19, 17]  [15, 13]  [6, 3]  [14, 16]  [20, 18]  [10, 7]  [12, 11]  [2, 1] 
 [16, 10]  [8, 18]  [4, 3]  [5, 6]  [1, 2]  [19, 20]  [7, 9]  [15, 17]  [14, 13]  [11, 12] 
 [14, 17]  [6, 7]  [13, 16]  [11, 8]  [4, 5]  [2, 9]  [10, 12]  [1, 3]  [15, 20]  [18, 19] 
 [18, 15]  [11, 13]  [9, 6]  [14, 10]  [17, 19]  [1, 4]  [2, 3]  [8, 12]  [5, 7]  [16, 20] 
 [12, 13]  [9, 10]  [1, 5]  [16, 19]  [7, 8]  [3, 6]  [11, 17]  [18, 20]  [2, 4]  [14, 15] 
 [2, 11]  [3, 16]  [17, 20]  [12, 15]  [9, 13]  [5, 8]  [4, 18]  [14, 19]  [1, 6]  [7, 10] 
 [1, 7]  [17, 18]  [4, 8]  [2, 5]  [3, 10]  [15, 19]  [13, 20]  [16, 11]  [12, 14]  [6, 9] 
 [6, 10]  [1, 8]  [2, 14]  [4, 9]  [5, 20]  [16, 18]  [12, 19]  [7, 13]  [11, 15]  [3, 17] 
 [3, 5]  [4, 6]  [10, 15]  [7, 17]  [2, 19]  [12, 20]  [16, 14]  [1, 9]  [13, 18]  [8, 11] 
 [8, 13]  [5, 11]  [7, 19]  [1, 10]  [14, 18]  [2, 6]  [9, 15]  [3, 20]  [16, 17]  [4, 12] 
 [9, 14]  [13, 19]  [5, 17]  [3, 12]  [8, 16]  [1, 11]  [4, 7]  [6, 18]  [10, 20]  [2, 15] 
 [1, 12]  [14, 20]  [11, 18]  [6, 16]  [13, 15]  [4, 19]  [3, 8]  [10, 17]  [2, 7]  [5, 9] 
 [4, 10]  [12, 17]  [9, 16]  [5, 19]  [11, 20]  [7, 15]  [1, 13]  [2, 8]  [6, 14]  [3, 18] 
 [7, 16]  [10, 18]  [6, 15]  [8, 20]  [5, 12]  [3, 9]  [2, 17]  [4, 13]  [11, 19]  [1, 14] 
 [13, 17]  [1, 15]  [3, 14]  [9, 11]  [2, 18]  [6, 8]  [10, 19]  [7, 12]  [5, 16]  [4, 20] 
 [11, 14]  [3, 7]  [8, 19]  [12, 18]  [9, 17]  [5, 13]  [6, 20]  [1, 16]  [4, 15]  [2, 10] 
 [9, 18]  [5, 14]  [1, 17]  [10, 13]  [8, 15]  [2, 12]  [4, 16]  [3, 11]  [7, 20]  [6, 19] 
 [5, 15]  [2, 13]  [4, 11]  [7, 14]  [3, 19]  [10, 16]  [1, 18]  [9, 20]  [6, 12]  [8, 17] 
 [2, 20]  [11, 16]  [7, 18]  [4, 17]  [6, 13]  [1, 19]  [3, 15]  [5, 10]  [8, 14]  [9, 12] 
 [6, 17]  [9, 19]  [2, 16]  [1, 20]  [7, 11]  [4, 14]  [8, 10]  [15, 12]  [3, 13]  [5, 18] 
--------------------


