1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,3,12,4,1,7,8,14,6,10,11,9,2,16,5,13,15,9,13,14,3,6,16,1,7,4,2,10,11,15,8,5,12,14,11,7,9,10,15,16,1,3,4,2,13,12,6,8,5,16,6,2,7,15,12,9,10,14,3,13,4,5,1,11,8,3,4,16,2,12,5,10,15,7,14,1,9,8,13,6,11,2,9,10,16,13,8,15,5,1,7,3,14,11,12,4,6,12,7,9,6,5,11,2,13,10,16,15,3,1,8,14,4,8,4,11,6,1,13,12,2,15,10,16,5,9,3,7,14,13,4,7,2,9,15,3,12,16,5,10,8,14,6,11,1,16,4,15,5,12,11,14,3,6,8,13,10,7,2,1,9,1,15,10,6,14,3,5,11,8,13,12,16,2,4,9,7,16,7,6,8,13,11,4,15,5,12,1,9,3,14,10,2,6,12,15,2,10,13,16,8,4,9,1,14,5,11,7,3,9,14,3,7,13,12,8,16,15,1,6,2,4,10,11,5,2,5,12,14,1,15,10,8,13,6,9,7,11,16,3,4,5,4,9,3,12,1,8,2,16,7,13,6,10,15,14,11,14,1,11,9,13,16,6,2,15,12,7,4,8,3,5,10,11,10,16,14,13,6,2,1,9,3,4,15,5,7,12,8,15,16,12,7,8,6,11,3,2,13,4,5,14,9,10,1,3,6,4,11,10,8,9,12,13,2,15,5,7,1,16,14,5,15,2,13,16,4,1,3,10,6,7,11,9,8,14,12,3,7,15,1,12,14,13,5,10,11,2,8,6,16,4,9,5,11,10,1,14,12,7,4,3,8,6,2,13,15,9,16,4,16,3,9,6,2,11,5,15,10,1,14,8,12,7,13,10,4,11,14,9,15,7,8,16,5,6,1,12,3,13,2,16,14,10,15,3,2,12,1,11,13,4,9,5,8,6,7,11,15,14,9,1,12,6,8,10,4,7,13,16,5,2,3,10,4,15,13,5,2,3,16,7,14,11,9,1,6,12,8,9,13,16,5,1,8,12,15,10,3,2,7,11,4,14,6,8,1,4,7,11,16,6,10,13,2,3,15,9,12,5,14,1,2,11,7,4,15,5,3,6,13,12,9,10,8,14,16,7,15,13,2,12,8,16,11,4,5,1,10,9,6,3,14,4,13,8,2,1,6,3,14,16,7,9,12,10,5,15,11,2,5,10,8,1,12,13,9,7,15,4,14,16,11,3,6,8,6,4,7,1,5,11,15,10,2,3,14,16,12,13,9,3,14,2,11,7,16,6,13,10,15,8,1,4,5,12,9,5,12,6,11,14,4,15,1,10,13,2,7,8,9,16,3,16,15,11,5,8,12,3,6,1,2,14,9,7,13,4,10,14,10,9,16,12,2,7,3,1,11,5,13,8,4,15,6,11,4,7,14,13,9,5,12,6,2,15,16,8,3,10,1,9,13,5,2,16,3,7,10,15,8,4,11,14,12,6,1,2,1,12,11,6,5,9,8,4,13,7,15,16,14,3,10,12,3,15,9,8,11,5,6,10,4,13,7,1,2,14,16,15,10,16,7,3,8,2,6,5,4,14,13,1,9,11,12,7,4,9,15,5,12,11,2,3,10,13,1,14,16,6,8,6,2,7,16,14,12,15,9,11,4,5,3,1,10,8,13,16,12,8,6,11,13,9,7,10,14,4,2,5,1,3,15,9,14,6,8,7,10,13,1,4,11,12,3,5,15,2,16,15,16,1,10,13,9,8,6,7,11,14,3,2,12,5,4,1,11,4,15,9,14,6,13,2,16,7,5,12,8,10,3,11,8,13,1,2,4,15,14,3,7,9,16,12,5,10,6,10,7,15,11,3,13,4,14,9,2,8,5,12,6,16,1,4,9,11,6,14,10,1,3,15,2,12,7,16,8,5,13,6,2,3,4,10,1,12,11,13,14,15,9,8,5,7,16,3,14,6,12,13,11,10,1,7,2,15,16,8,9,4,5,13,10,8,3,7,4,11,6,1,16,14,5,2,9,15,12,11,16,4,13,1,12,3,8,6,10,7,15,9,5,14,2,4,3,1,11,6,8,13,12,2,7,10,16,5,14,9,15,1,7,11,4,10,13,8,2,12,6,9,3,14,15,5,16,8,6,13,1,12,2,4,11,10,9,16,7,3,5,14,15,13,9,12,8,7,11,2,10,14,16,5,6,15,3,1,4,
---
Solution [travelDistance=491075, homeVisitViolations=0, consecutiveHomeVisitViolations=0, consecutiveTeamSeenViolations=0]
-1--2--3--4--5--6--7--8--9--10--11--12--13--14--15--16-
 [17, 16]  [18, 15]  [19, 14]  [20, 13]  [21, 12]  [22, 11]  [23, 10]  [24, 9]  [25, 8]  [26, 7]  [27, 6]  [28, 5]  [29, 4]  [30, 3]  [31, 2]  [32, 1] 
 [20, 14]  [28, 6]  [17, 2]  [19, 15]  [30, 4]  [24, 10]  [21, 13]  [22, 12]  [27, 7]  [25, 9]  [26, 8]  [18, 16]  [31, 1]  [23, 11]  [32, 3]  [29, 5] 
 [23, 12]  [26, 9]  [20, 15]  [25, 10]  [31, 5]  [21, 14]  [24, 11]  [30, 1]  [17, 4]  [27, 8]  [28, 7]  [32, 2]  [18, 3]  [19, 16]  [29, 6]  [22, 13] 
 [24, 13]  [27, 10]  [25, 12]  [26, 11]  [32, 7]  [30, 2]  [19, 4]  [31, 8]  [20, 3]  [21, 16]  [18, 5]  [29, 1]  [28, 9]  [17, 6]  [22, 15]  [23, 14] 
 [30, 11]  [19, 7]  [26, 13]  [28, 1]  [29, 2]  [18, 8]  [20, 6]  [32, 10]  [23, 16]  [24, 15]  [31, 3]  [22, 4]  [27, 12]  [25, 14]  [21, 5]  [17, 9] 
 [27, 1]  [20, 12]  [10, 9]  [18, 6]  [22, 17]  [31, 13]  [25, 16]  [29, 3]  [28, 2]  [23, 5]  [32, 11]  [21, 7]  [30, 14]  [26, 15]  [24, 4]  [19, 8] 
 [25, 15]  [17, 11]  [27, 2]  [31, 14]  [24, 6]  [32, 4]  [26, 1]  [22, 5]  [18, 10]  [19, 9]  [29, 12]  [30, 16]  [21, 8]  [28, 3]  [23, 13]  [20, 7] 
 [29, 19]  [22, 6]  [28, 18]  [32, 21]  [15, 9]  [14, 5]  [12, 8]  [30, 23]  [13, 7]  [25, 1]  [16, 17]  [11, 10]  [24, 20]  [31, 4]  [27, 3]  [26, 2] 
 [16, 18]  [24, 1]  [30, 6]  [13, 8]  [28, 12]  [15, 7]  [31, 19]  [11, 9]  [29, 17]  [26, 3]  [14, 4]  [23, 20]  [22, 10]  [32, 5]  [25, 2]  [27, 21] 
 [32, 22]  [15, 10]  [23, 1]  [12, 5]  [26, 19]  [30, 18]  [13, 4]  [28, 21]  [16, 14]  [27, 17]  [31, 7]  [24, 2]  [11, 6]  [29, 9]  [20, 8]  [25, 3] 
 [31, 9]  [30, 7]  [24, 3]  [18, 4]  [20, 5]  [25, 13]  [29, 16]  [26, 6]  [32, 8]  [28, 10]  [22, 1]  [21, 17]  [27, 14]  [23, 2]  [19, 12]  [11, 15] 
 [12, 11]  [29, 8]  [22, 2]  [30, 15]  [23, 3]  [19, 20]  [32, 9]  [25, 4]  [31, 6]  [18, 7]  [24, 5]  [27, 13]  [26, 16]  [21, 1]  [17, 10]  [28, 14] 
 [26, 10]  [32, 16]  [29, 15]  [22, 3]  [24, 18]  [17, 12]  [14, 7]  [19, 13]  [28, 4]  [31, 11]  [21, 2]  [25, 5]  [20, 1]  [30, 27]  [23, 6]  [9, 8] 
 [27, 18]  [12, 3]  [32, 13]  [24, 21]  [29, 11]  [6, 4]  [31, 10]  [20, 2]  [26, 22]  [15, 14]  [30, 25]  [7, 8]  [17, 23]  [28, 16]  [9, 5]  [19, 1] 
 [25, 6]  [28, 11]  [16, 9]  [29, 14]  [32, 17]  [27, 5]  [18, 1]  [21, 3]  [10, 7]  [30, 13]  [31, 15]  [20, 22]  [19, 2]  [12, 4]  [24, 8]  [23, 26] 
 [19, 3]  [9, 7]  [31, 12]  [32, 6]  [16, 2]  [26, 14]  [28, 8]  [23, 24]  [27, 15]  [22, 20]  [29, 10]  [17, 1]  [25, 11]  [18, 13]  [21, 4]  [30, 5] 
 [21, 11]  [23, 8]  [18, 2]  [16, 1]  [14, 13]  [28, 15]  [26, 5]  [22, 9]  [17, 3]  [29, 7]  [32, 20]  [19, 6]  [27, 4]  [31, 25]  [30, 10]  [24, 12] 
 [15, 1]  [24, 22]  [30, 8]  [28, 17]  [31, 18]  [23, 9]  [27, 11]  [29, 13]  [19, 5]  [32, 12]  [16, 3]  [26, 4]  [20, 10]  [14, 2]  [25, 7]  [21, 6] 
 [22, 8]  [21, 10]  [24, 7]  [26, 12]  [29, 25]  [20, 11]  [30, 9]  [32, 18]  [23, 4]  [14, 1]  [13, 2]  [31, 27]  [17, 5]  [16, 6]  [28, 19]  [15, 3] 
 [32, 25]  [20, 4]  [19, 10]  [27, 9]  [28, 26]  [17, 8]  [15, 6]  [16, 5]  [30, 22]  [31, 21]  [18, 11]  [14, 3]  [23, 7]  [29, 24]  [12, 2]  [13, 1] 
